date,revenue,cost,orders,customers,returns
2023-01-01,8200,6100,410,380,21
2023-02-01,8600,6300,425,395,19
2023-03-01,9100,6550,448,410,23
2023-04-01,9500,6800,467,428,22
2023-05-01,10200,7150,495,450,26
2023-06-01,10800,7400,521,472,24
2023-07-01,11500,7800,549,495,28
2023-08-01,12100,8100,576,518,27
2023-09-01,12800,8450,605,542,31
2023-10-01,13600,8850,638,570,30
2023-11-01,14500,9300,675,601,34
2023-12-01,15800,9900,728,648,38
2024-01-01,15200,9750,701,625,41
2024-02-01,14600,9600,672,598,45
2024-03-01,13900,9450,640,571,52
2024-04-01,13100,9300,605,540,58
2024-05-01,12400,9150,572,512,61
2024-06-01,12000,9050,551,495,57
2024-07-01,12300,9100,562,505,49
2024-08-01,12900,9250,590,528,44
2024-09-01,13700,9500,625,560,39
2024-10-01,14600,9800,664,596,36
2024-11-01,15700,10200,710,638,33
2024-12-01,17100,10700,768,690,35
2025-01-01,17800,11000,797,716,32
2025-02-01,18600,11350,829,745,30
2025-03-01,19500,11700,865,778,33
2025-04-01,20500,12100,905,814,31
2025-05-01,21600,12500,948,853,34
2025-06-01,22800,12950,996,896,36
2025-07-01,24100,13400,1048,943,38
2025-08-01,25500,13900,1102,991,37
2025-09-01,27000,14400,1160,1043,40
2025-10-01,28600,14950,1222,1099,42
2025-11-01,30400,15550,1290,1160,44
2025-12-01,32500,16250,1365,1228,47
