date,revenue,cost
2022-01-01,42000,29400
2022-02-01,43800,30500
2022-03-01,45200,31400
2022-04-01,47100,32600
2022-05-01,48900,33800
2022-06-01,50800,35100
2022-07-01,52900,36500
2022-08-01,54600,37700
2022-09-01,56800,39200
2022-10-01,58900,40600
2022-11-01,61200,42200
2022-12-01,64100,44100
2023-01-01,66800,47800
2023-02-01,69200,51400
2023-03-01,71500,55300
2023-04-01,73100,59600
2023-05-01,74400,64200
2023-06-01,75200,69100
2023-07-01,75800,74500
2023-08-01,76100,77900
2023-09-01,76800,75200
2023-10-01,78200,71800
2023-11-01,80100,68900
2023-12-01,82600,66400
2024-01-01,85400,64800
2024-02-01,88600,65900
2024-03-01,92100,67400
2024-04-01,95900,69200
2024-05-01,99800,71100
2024-06-01,104000,73300
2024-07-01,108500,75600
2024-08-01,113200,78100
2024-09-01,118100,80700
2024-10-01,123300,83500
2024-11-01,128800,86400
2024-12-01,134500,89600
2025-01-01,138200,91800
2025-02-01,141100,93600
2025-03-01,143400,95100
2025-04-01,145100,96300
2025-05-01,146300,97200
2025-06-01,147100,97900
2025-07-01,147600,98400
2025-08-01,147900,98700
2025-09-01,148100,98900
2025-10-01,148200,99100
2025-11-01,148250,99250
2025-12-01,148300,99410
